Sta_Resp,Depth_Resp,Resp_mg_C_m3_d,Uncert_resp_mg_C_m3_d,Temp_Resp,Sta_BP,Depth_BP,BP_mg_C_m3_d,Uncert_BP_mg_C_m3_d,Temp_BP,Sta_Comp,Depth_Comp,Resp_mg_C_m3_d_comp,Uncert_resp_mg_C_m3_d_comp,BP_mg_C_m3_d_comp,Uncert_BP_mg_C_m3_d_comp
PS3,150,10.90982254,8.894306906,5.3837,QL1,5,0.7494,0.0347456,12.7628,PS3,150,10.90982254,8.894306906,0.0589,0.0102887
PS3,60,7.179393752,6.131217828,6.0788,QL1,12,0.8355,0.0176448,12.2011,PS3,44,10.60060248,2.776168969,0.1744,0.00700118
PS3,44,10.60060248,2.776168969,6.5507,QL1,18,0.8404,0.0670481,11.9227,PS3,22,21.08350131,5.276633081,0.5638,0.0176551
PS3,21.5,21.08350131,5.276633081,7.9029,QL1,25,0.8554,0.0582828,11.3792,PS3,8,39.27921295,4.745618947,0.4882,0.0384848
PS3,11,39.27921295,4.745618947,10.47,QL1,55,0.1109,0.0257522,12.5961,PS4,150,9.214526261,9.214543842,0.0248,0.0102887
PS3,6,35.75612113,2.069647386,10.839,QL1,150,0.0148,0.0106024,14.5928,PS4,51,6.143023018,10.75031247,0.1095,0.00700118
PS4,150,9.214526261,9.214543842,5.0052,QL2,6,0.2178,0.0261525,20.462,PS4,18,10.23839925,1.535755042,0.3492,0.0176551
PS4,51,6.143023018,10.75031247,5.4596,QL2,18,0.2085,0.00912931,20.2672,PS4,8,33.47429037,7.339271572,0.486,0.0384848
PS4,40,3.071511509,10.75030568,5.5736,QL2,35,0.1897,0.0516843,20.0534,PS2,150,5.479088458,2.386420872,0.0128,0.0102887
PS4,17.3,10.23839925,1.535755042,6.6959,QL2,65,0.2006,0.00603901,19.42,PS2,51,10.35692947,3.991648703,0.1384,0.00700118
PS4,10.5,33.47429037,7.339271572,7.8763,QL2,90,0.1471,0.0254526,19.383,PS2,31,1.627410034,5.63493388,0.1385,0.0260733
PS4,5.5,49.25682918,17.86884615,10.2602,QL2,150,0.0219,0.00259796,19.3717,PS2,15,10.38784321,7.888799759,1.6244,0.0089504
PS2,150,5.479088458,2.386420872,6.1817,PS1,5,0.7391,0.0384848,15.9474,PS2,6,22.17118555,4.804325361,1.5568,0.0384848
PS2,100,4.867781648,3.437873222,6.3825,PS1,8,0.8908,0.0089504,15.9474,QL1,29,28.59934235,8.348362941,0.8554,0.0582828
PS2,51,10.35692947,3.991648703,7.1579,PS1,13,0.5789,0.0176551,15.7886,QL2,14,9.174933529,9.174933529,0.2085,0.00912931
PS2,31,1.627410034,5.63493388,8.8754,PS1,21,0.5853,0.0260733,15.7678,PS1,20,20.74692176,9.753532941,0.5853,0.0260733
PS2,17.3,10.38784321,7.888799759,10.6911,PS1,30,0.439,0.00700118,15.6439,PS4,20,65.29907647,6.612564706,0.3492,0.0176551
PS2,11.6,17.06752545,6.330442575,12.206,PS1,150,0.0574,0.0102887,12.8568,,,,,,
PS2,5.7,22.17118555,4.804325361,12.291,PS2,6,1.5568,0.0384848,12.291,,,,,,
PS2,7.6,33.3165807,2.186830041,12.2792,PS2,15,1.6244,0.0089504,11.472,,,,,,
QL1,29,28.59934235,8.348362941,11.0247,PS2,26,0.9994,0.0176551,9.1783,,,,,,
QL2,14,9.174933529,9.174933529,20.2765,PS2,35,0.1385,0.0260733,8.5597,,,,,,
PS1,20,20.74692176,9.753532941,15.7669,PS2,50,0.1384,0.00700118,7.2157,,,,,,
PS2,7,33.31079471,3.802224706,12.3007,PS2,150,0.0128,0.0102887,6.1817,,,,,,
PS4,20,65.29907647,6.612564706,7.0054,PS3,9,0.4882,0.0384848,10.6295,,,,,,
,,,,,PS3,15,0.6035,0.0089504,8.5571,,,,,,
,,,,,PS3,22,0.5638,0.0176551,7.9029,,,,,,
,,,,,PS3,32,0.3482,0.0260733,7.2106,,,,,,
,,,,,PS3,41,0.1744,0.00700118,6.555,,,,,,
,,,,,PS3,150,0.0589,0.0102887,5.3837,,,,,,
,,,,,PS4,8,0.486,0.0384848,9.9429,,,,,,
,,,,,PS4,14,0.3939,0.0089504,7.0604,,,,,,
,,,,,PS4,18,0.3492,0.0176551,6.6959,,,,,,
,,,,,PS4,30,0.2997,0.0260733,5.7023,,,,,,
,,,,,PS4,51,0.1095,0.00700118,5.4596,,,,,,
,,,,,PS4,150,0.0248,0.0102887,4.9935,,,,,,
